row,y,score_margin,base_value,V258,V201,V200,V189,V246,card1,V257,V259
438063,1,1.3553402,-2.2014267444610596,-0.017439192,0.02728519,0.022030218,-0.030781223,0.008312199,3.5359046,-0.007483964,0.018938053
421964,1,1.3553402,-2.2014267444610596,-0.017439192,0.02728519,0.022030218,-0.030781223,0.008312199,3.5359046,-0.007483964,0.018938053
452851,0,1.2290152,-2.2014267444610596,0.5751985,-0.28594223,0.033027507,1.8161992,0.11310672,1.209366,-0.004056483,-0.026456319
456473,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
444987,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
448396,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
449499,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
448402,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
468351,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
444921,0,0.8751751,-2.2014267444610596,-0.0076788855,0.027430855,0.021483816,-0.018103575,0.008198182,3.0300562,-0.006916613,0.022131404
